XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/Publisher Type,Description/Summary,FedoraCollection,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,DateAttribute,DateCreated,OriginalBroadcastDate,Century,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,Language,TopicalSubject,GeographicalSubject,CorpSubject,PersonalSubject
UMAM,,,,,MAD 012,scpa-023108-0001,00:15:16,00:15:16,,George Blood Audio Video,,2013-09-11,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 013,,,,,,,,,,,"Madrigal Singers, Salisbury Matena, 1963",Madrigal Singers - Salisbury - Matena (early version),,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1963,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,"low levels; interstitial error at 00:01:14, 00:02:40, and 00:18:19",yes,,,,,
UMAM,,,,,MAD 013,scpa-023109-0001,00:23:06,00:23:06,,George Blood Audio Video,,2013-09-11,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 014,,,,,,,,,,,"Madrigal Singers and instrumental consort, March 28, 1971",Madrigal Singers and Instrumental Consort,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1971-03-28,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,"first file is blank from 00:02:33-00:04:57, reduced to 30 second in derivatives; second file is fine",yes,,,,,
UMAM,,,,,MAD 014,scpa-023110-0001,00:26:18,00:26:18,,George Blood Audio Video,,2013-09-23,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 014,scpa-023110-0002,00:24:22,00:24:22,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 014,scpa-023110-0003,00:26:45,00:26:45,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 014,scpa-023110-0004,00:26:45,00:26:45,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 015,,,,,,,,,,,"Madrigal Singers, Spring Concert, May 2, 1972",The Madrigal Singers: Spring Concert,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1972-05-02,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; hiss; crackling audio distortion end cut off,yes,,,,,
UMAM,,,,,MAD 015,scpa-023111-0001,00:29:01,00:29:01,,George Blood Audio Video,,2013-09-23,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 015,scpa-023111-0002,00:35:47,00:35:47,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 016,,,,,,,,,,,"Madrigal Singers, State Department tour, Baghdad, Iraq, television program, March 10, 1964","Maryland Singers- State Dept. Tour Iraq, Baghdad - Television Program",,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1964-03-10,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Iraq,Baghdad,,muffled sound,yes,,,,,
UMAM,,,,,MAD 016,scpa-023112-0001,00:26:22,00:26:22,,George Blood Audio Video,,2013-09-23,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 017,,,,,,,,,,,"Madrigal Singers rehearsal for Folger Library, April 22, 1963",Madrigal Singers Rehearsal for Folger Library ,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-04-22,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,District of Columbia,Washington,,beginning cut off; hiss; interstitial error at 00:27:02; end cut off,yes,,,,,
UMAM,,,,,MAD 017,scpa-023113-0001,00:43:00,00:43:00,,George Blood Audio Video,,2013-09-23,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 018,,,,,,,,,,,"Madrigal Singers, Spring Concert, part 1 of 2, May 8, 1963",Madrigal Singers - Spring Concert 1963 Part 1 of 2,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-05-08,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,left channel stronger than right channel; recording clips often between 00:22:34-00:24:44; ,yes,,,,,
UMAM,,,,,MAD 018,scpa-023114-0001,00:39:40,00:39:40,,George Blood Audio Video,,2013-09-23,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 019,,,,,,,,,,,"Madrigal Singers, Spring Concert, part 2 of 2, May 8, 1963",Madrigal Singers - Spring Concert 1963 Part 2 of 2,,,Madrigal Singers,corpName,University of Maryland,corpName,Program attached to Part 1.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-05-08,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; hiss; amazing ending speech and applause,yes,,,,,
UMAM,,,,,MAD 019,scpa-023115-0001,00:48:30,00:48:30,,George Blood Audio Video,,2013-09-23,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 020,,,,,,,,,,,"Madrigal Singers, Spring Concert excerpts for NBC audition, spring 1962","Madrigal Singers Excerpts of Spring Concert 1962, NBC Audtion",,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1962,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss,yes,,,,,
UMAM,,,,,MAD 020,scpa-023116-0001,00:30:15,00:30:15,,George Blood Audio Video,,2013-09-23,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 021,,,,,,,,,,,"Madrigal Singers, Spring Concert, spring 1962",Madrigal Singers Spring Concert 1962,,,Madrigal Singers,corpName,University of Maryland,corpName,Program attached to MAD 020.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1962,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; concert presented by WMUC,yes,,,,,
UMAM,,,,,MAD 021,scpa-023117-0001,00:32:26,00:32:26,,George Blood Audio Video,,2013-09-23,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 021,scpa-023117-0002,00:26:06,00:26:06,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 022,,,,,,,,,,,"Madrigal Singers, Christmas Concert, December 1971",Madrigal Singers : Christmas 1971,,,Madrigal Singers,corpName,University of Maryland,corpName,Additional notes included. Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1971-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 022,scpa-023118-0001,00:46:09,00:46:09,,George Blood Audio Video,,2013-09-23,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 023,,,,,,,,,,,"Madrigal Singers, Kurt Erich Eicke opera, part 1 of 2, May 8, 1963",Opera - Kurt Erich Eicke Part 1 of 2,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-05-08,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hum,yes,,,,,
UMAM,,,,,MAD 023,scpa-023119-0001,01:35:41,01:35:41,,George Blood Audio Video,,2013-09-23,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 024,,,,,,,,,,,"Madrigal Singers, Kurt Erich Eicke opera, part 2 of 2, May 8, 1963",Opera - Kurt Erich Eicke Part 2 of 2,,,Madrigal Singers,corpName,University of Maryland,corpName,"Program attached to Part 1, MAD 023.",Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-05-08,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; hum,yes,,,,,
UMAM,,,,,MAD 024,scpa-023120-0001,00:13:35,00:13:35,,George Blood Audio Video,,2013-09-23,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 025,,,,,,,,,,,"Madrigal Singers, State Department tour, Beirut, Lebanon, RMG interview, spring 1964","Madrigal Singers - State Dept. Tour, Beirut, RMG interview",,,Madrigal Singers,corpName,University of Maryland,corpName,Interview with Don Anderson. Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1964,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Lebanon,Beirut,,,yes,,,,,
UMAM,,,,,MAD 025,scpa-023121-0001,00:08:23,00:08:23,,George Blood Audio Video,,2013-09-23,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 026,,,,,,,,,,,"Madrigal Singers, Christmas Concert, part 1 of 3, December 21, 1966",University of Maryland Madrigal Singers Christmas Concert Part 1 of 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-12-21,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; drop outs,yes,,,,,
UMAM,,,,,MAD 026,scpa-023122-0001,00:30:30,00:30:30,,George Blood Audio Video,,2013-09-23,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 027,,,,,,,,,,,"Madrigal Singers, Christmas Concert, part 2 of 3, December 21, 1966",University of Maryland Madrigal Singers Christmas Concert Part 2 of 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-12-21,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss,yes,,,,,
UMAM,,,,,MAD 027,scpa-023123-0001,00:35:45,00:35:45,,George Blood Audio Video,,2013-09-23,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 028,,,,,,,,,,,"Madrigal Singers, Christmas Concert, part 3 of 3, December 21, 1966",University of Maryland Madrigal Singers Christmas Concert Part 3 of 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-12-21,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; hiss,yes,,,,,
