XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Contributor,Provider/Publisher,Description/Summary,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Genre,Century,DateAttribute,DateCreated,OriginalBroadcastDate,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,Dimensions,TypeOfMaterial,PlaybackSpeed,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,NoteToHenry,Finished,Cassette Information
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=74a118adf94248a,1.1.1.3.0,scpa-020857-0001,0:30:38,0:28:54,Side A includes a thumping sound at random times throughout,DCMR,"Ostrye, Sarah",5/30/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Sony; Length: 60; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4603361fa8e048b,1.1.1.3.0,scpa-020857-0002,0:30:40,0:11:39,Side B,DCMR,"Ostrye, Sarah",5/30/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Sony; Length: 60; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.4.0,,,,,,,,,,,"Lawford Wilson, May 20, 1993","Lanford Wilson - Sag Harbor, NY - Interviewer: Jackson R. Bryer (two cassettes), May 20, 1993","Bryer, Jackson R. (interviewer); Wilson, Lanford (interviewee)",,"Lanford Wilson interviewed by University of Maryland professor Jackson R. Bryer on May 20, 1993. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,5/20/93,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,Sag Harbor,,Tape hiss and hum from recorder persistent across recording; end of Side A of first tape is cut off; beginning and end of Side B of first tape are cut off; mechanical squeal on Side A of second tape.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=95bf1320ef5143b,1.1.1.4.0,scpa-020406-0001,0:47:37,0:47:18,Side A,DCMR,"Allen, Sara",6/4/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ac67a3531a9a46a,1.1.1.4.0,scpa-020406-0002,0:47:32,0:47:15,Side B,DCMR,"Allen, Sara",6/4/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2a3c063771174f3,1.1.1.4.0,scpa-020406-0003,0:47:15,0:01:42,"Side B of the second tape is 00:47:28 but is blank, so no derivatives of it exist. ",DCMR,"Allen, Sara",6/4/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.5.0,,,,,,,,,,,"Ntozake Shange, December 1993","Ntozake Shange - Philadelphia, PA - Interviewer: Mary Helen Washington, December 10, 1993","Washington, Mary Helen (interviewer); Shange, Ntozake (interviewee)",,"Ntozake Shange interviewed by Mary Helen Washington on December 10, 1993.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,12/10/93,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Pennsylvania,Philadelphia,,Cyclical muted popping that begins in 45th minute and continues through end of recording was likely derived from the original cassette recorder. ,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=35135cb612fd4a5,1.1.1.5.0,scpa-020858-0001,0:59:56,0:57:37,"Side A; Side B is 00:59:51 but is blank, so no derivatives of it exist.",DCMR,"Ostrye, Sarah",5/30/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Supertape; Length: 120; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.6.0,,,,,,,,,,,"Neil Simon, January 1991","Neil Simon - Washington DC - Interviewer: Jackson R. Bryer, January 23, 1991","Bryer, Jackson R. (interviewer); Simon, Neil (interviewee)",,"Neil Simon interviewed by University of Maryland professor Jackson R. Bryer on January 23, 1991.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1/23/91,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Washington DC,,,Interview begins without introductions; Side A is cut off at end; general tape hiss; cyclical clicking throughout recording; left channel is slightly stronger.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5dbda3cdca234c9,1.1.1.6.0,scpa-020985-0001,0:45:56,0:45:47,Side A,DCMR,"Allen, Sara",6/5/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=68206f847bf24e8,1.1.1.6.0,scpa-020985-0002,0:45:49,0:37:20,Side B,DCMR,"Allen, Sara",6/5/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.7.0,,,,,,,,,,,"George C. Wolfe, December 1, 2002","George C. Wolfe - Public Theatre - Interviewers: Jackson R. Bryer & Richard A. Davison, December 1, 2001","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Wolfe, George C. (interviewee)",,"George C. Wolfe interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on December 1, 2002.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,12/1/02,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,Interview begins mid-conversation; tape hiss; cyclical clicking throughout recording; end of Side A cut off; occasional slight pops. ,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=32bd9fde98b74d2,1.1.1.7.0,scpa-019386-0001,1:00:54,1:00:46,Side A,DCMR,"Allen, Sara",3/12/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: D120; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a7c0b60e38874d8,1.1.1.7.0,scpa-019386-0002,1:00:56,0:28:14,Side B,DCMR,"Allen, Sara",3/12/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: D120; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMDM,,,,,1.1.1.8.0,,,,,,,,,,,"Susan Stroman, July 18, 2002","Susan Stroman - The New 42nd St. Studios - Interviewers: Jackson R. Bryer & Richard A. Davison, July 18, 2002","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Stroman, Susan",,"Susan Stroman interviewed by University of Maryland professor Jackson R. Bryer Richard A. Davison on July 18, 2002.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,7/18/02,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,Side A is cut off at end; cyclical clicking throughout recording; general tape hiss; brief disruption at 00:19:13,Could you add the Cassette Info?; OK. Done - HB,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c50d0ca07c1d43a,1.1.1.8.0,scpa-019601-0001,0:46:08,0:45:57,Side A,DCMR,"Allen, Sara",3/26/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90 ; Oxide: Type II; Noise reduction: none; Equalization: High bias
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f131c67b359b4d3,1.1.1.8.0,scpa-019601-0002,0:46:02,0:34:37,Side B,DCMR,"Allen, Sara",3/26/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90 ; Oxide: Type II; Noise reduction: none; Equalization: High bias
UMDM,,,,,1.1.1.9.0,,,,,,,,,,,"Pat Carroll, July 30, 2002"," Pat Carroll - Harwich Port, MA - Interviewer: Jackson R. Bryer, July 30, 2002","Bryer, Jackson R. (interviewer); Carroll, Pat (interviewee)",,"Pat Carroll interviewed by University of Maryland professor Jackson R. Bryer on July 30, 2002.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,7/30/02,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Massachusetts,Harwich Port,,Interview begins without introductions; general tape hiss; occasional pops; cyclical clicking throughout recording; conversation is interrupted occasionally when interviewer switches off the recorder; Side A is cut off at end; Side B is blank so no derivative exists.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=0740974a4b024cf,1.1.1.9.0,scpa-020856-0001,0:46:05,0:45:53,"Side A; Side B is 00:45:53, but is blank so no derivatives of it exist",DCMR,"Ostrye, Sarah",5/30/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMDM,,,,,1.1.1.10.0,,,,,,,,,,,"Jason Robert Brown, January 20, 2004","Jason Robert Brown - NY, NY - Interviewers: Jackson R. Bryer & Richard A. Davison (two cassettes), January 20, 2004","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Brown, Jason Robert (interviewee)",,"Jason Robert Brown interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on January 20, 2004. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,1/20/04,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,"Interview begins without introductions; tape hiss; interview takes place at a restaurant, much background chatter but conversation is completely intelligible; end of Side A of first tape is cut off; beginning and end of Side B of first tape are cut off. ",,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=fee4dda839584ae,1.1.1.10.0,scpa-019545-0001,0:46:32,0:46:22,Side A,DCMR,"Cartier, Eric",3/22/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=09541f9f499a4d4,1.1.1.10.0,scpa-019545-0002,0:47:21,0:46:15,Side B,DCMR,"Cartier, Eric",3/22/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=568d5ed488904fd,1.1.1.10.0,scpa-019545-0003,0:46:32,0:18:57,"Side A; Side B of the second tape is 00:47:21, but is blank so no derivatives of it exist",DCMR,"Cartier, Eric",3/22/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMDM,,,,,1.1.1.11.0,,,,,,,,,,,"Kathleen Marshall, January 27, 2004","Kathleen Marshall - NYC - Interviewers: Jackson R. Bryer & Richard A. Davison (two cassettes), January 27, 2004","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Marshall, Kathleen (interviewee)",,"Kathleen Marshall interviewed by University of Maryland professor Jackson R. Bryer Richard A. Davison on January 27, 2004.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,1/27/04,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,Interview begins without introductions; tape hiss; cyclical clicking throughout recording; end of Side A on first tape is cut off; beginning and end of Side B of first tape is cut off; beginning of Side A of second tape is cut off.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4c8ef9a3be86427,1.1.1.11.0,scpa-019962-0001,0:46:26,0:46:15,Side A,DCMR,"Ostrye, Sarah",4/10/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=cbbc2d368167440,1.1.1.11.0,scpa-019962-0002,0:46:17,0:46:12,Side B,DCMR,"Ostrye, Sarah",4/10/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3d81f3bf773a463,1.1.1.11.0,scpa-019962-0003,0:46:20,0:05:20,"Side A; Side B of the second tape is 00:46:33, but is blank so no derivatives of it exist",DCMR,"Ostrye, Sarah",4/10/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC Type I
UMDM,,,,,1.1.1.12.0,,,,,,,,,,,"John Weidman, February 9, 2004","John Weidman - Dramatists' Guild - Interviewers: Jackson R. Bryer & Richard A. Davison, February 9, 2004","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Weidman, John (interviewee)",,"John Weidman interviewed by University of Maryland professor Jackson R. Bryerand  Richard A. Davison on February 9, 2004.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2/9/04,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,Interview begins without introductions; general tape hiss; cyclical clicking throughout recording; end of side A is cut off; beginning and end of Side B are cut off.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=1e703fce3ef7490,1.1.1.12.0,scpa-019901-0001,0:46:21,0:46:14,Side A,DCMR,"Ostrye, Sarah",4/3/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=aa5aac562c164d2,1.1.1.12.0,scpa-019901-0002,0:46:32,0:46:19,Side B,DCMR,"Ostrye, Sarah",4/3/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I
UMDM,,,,,1.1.1.13.0,,,,,,,,,,,"Stephen Sondheim, June 15, 2004","Stephen Sondheim - NY, NY - Interviewers: Jackson R. Bryer & Richard A. Davison, June 15, 2004","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Sondheim, Stephen (interviewee)",,"Stephen Sondheim interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on June 15, 2004.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,6/15/04,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,Interview begins without introductions; side A is cut off; strong tape hiss on side B; cyclical clicking throughout recording; dropout between 00:15:20 and 00:15:22 and overall low sound levels on Side B so that conversation is not always intelligible.,Check out Side B. Can you test DeNoise or Audition's equivalent to remove the white noise/hiss?; OK DONE! HB,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=96dac1f6266f414,1.1.1.13.0,scpa-019416-0001,0:46:34,0:46:10,Side A,DCMR,"Peim, Krista Anderson",3/13/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Radioshack; Length: 90; Oxide: Type I; Low Noise; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9ba08b6a9c824bc,1.1.1.13.0,scpa-019416-0002,0:46:12,0:27:00,"Dropout between 00:15:20 and 00:15:22? on Side B.; HB applied Adobe Audition's ""Noise Reduction (Process)"" effect reduce 9.1 dB of broadband noise for derivatives to improve clarity.",DCMR,"Peim, Krista Anderson",3/13/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Radioshack; Length: 90; Oxide: Type I; Low Noise; Equalization: IEC Type I
 ,,,,,1.1.1.14.0,,,,,,,,,,,"Tommy Tune, June 30, 2003","Tommy Tune - NYC - Interviewers: Jackson R. Bryer & Richard A. Davison (two cassettes), June 30, 2003","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Tune, Tommy (interviewee)",,"Tommy Tune interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on June 30, 2003.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,6/30/03,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,"Interview begins without introductions; tape hiss, cyclical clicking noise, and hum of tape recorder persistent across recording; end of Side A of first tape cut off; beginning and end of Side B of first tape cut off; loud pop at 00:40:00 on Side B of second tape.",,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=134ce7e14f2e43b,1.1.1.14.0,scpa-019938-0001,0:45:54,0:45:49,Side A,DCMR,"Peim, Krista Anderson",4/3/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=8b062d5323744d5,1.1.1.14.0,scpa-019938-0002,0:45:48,0:45:47,Side B,DCMR,"Peim, Krista Anderson",4/3/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5e5406c8c4e4471,1.1.1.14.0,scpa-019938-0003,0:56:10,0:02:16,"Side A; Side B of the second tape is 00:45:47, but is blank so no derivatives of it exist",DCMR,"Peim, Krista Anderson",4/3/13,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMDM,,,,,1.1.1.15.0,,,,,,,,,,,"Lynn Ahrens and Stephen Flaherty, December 8, 2003","Lynn Ahrens/Stephen Flaherty - NY - Interviewers: Jackson R. Bryer & Richard A. Davison (two cassettes), December 8, 2003","Bryer, Jackson R. (interviewer); Davidson, Richard A. (interviewer); Ahrens, Lynn (interviewee); Flaherty, Stephen (interviewee)",,"Lynn Ahrens and Stephen Flaherty interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on December 8, 2003.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,12/8/03,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,"Interview begins without introductions; tape hiss, cyclical clicking noise, and hum of tape recorder persisent across recording; conversation cut off at end of Side A and B on first tape; scratchy pops at 00:14:52 and between 00:37:47 and 00:40:10 on Side A of first tape; scratchy pops at 00:32:02 and 00:35:34 on Side B of first tape; pop at 00:00:15 on Side A of second tape.",,,
