XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,DateAnalogCreated,Original BroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,,UMDM,UMAM,ShareStreamURLs
UMDM,WMUC-Reel-116,,,,,,,,,,,"Timepiece; football: University of Maryland vs. Wake Forest, undated","Sports MD vs Villanova, 9/29/73","Hammerski, Tom; Nukum[sic], Doris ","WMUC (Radio station : College Park, Md.)","Labeled as: ""Maryland Football versus Villanova, September 29, 1973."" Actually, University of Maryland vs. Wake Forest. Insert for game in box. Also contains a program called ""Timepiece,"" and ads about the opening of the Kennedy Center. Undated.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,umd:166898,umd:166902; umd:166905,
UMAM,,bcast-018862-0001,0:30:41,0:12:45,Digitized through Mac Pro soundcard (HB); bcast-018862-0001 is the left channel and bcast-018862-0002 is the right channel; 018862-0001 has the first 16 minutes removed in the derivative as it is silent at the start of the tape on the left channel,"Left channel, bcast-018862-0001 contains  ""Timepiece."" Right channel, bcast-018862-0002 is the football game described in description. ",Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e73af9f4dd1e4b9
UMAM,,bcast-018862-0002,0:41:54,0:41:54,Digitized through Mac Pro soundcard (HB); bcast-018862-0001 is the left channel and bcast-018862-0002 is the right channel; 018862-0001 has the first 16 minutes removed in the derivative as it is silent at the start of the tape on the left channel,"Left channel, bcast-018862-0001 contains  ""Timepiece."" Right channel, bcast-018862-0002 is the football game described in description. ",Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e8e7bbdcfab2473
UMDM,WMUC-Reel-117,,,,,,,,,,,"Music: Will Oldham, May 22, 1996","Will Oldham/Palace Music, 5/22/96","Oldham, Will","WMUC (Radio station : College Park, Md.)","Labeled as: ""Will Oldham/Palace Music, May 22, 1996."" No interview found on tape. Recording is folk music with vocals.",FM,WMUC Archives,2011-084,1,University Archives,University of Maryland at College Park,,5/22/96,"10.5""","1/4"" open reel tape",15,instrumental and vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018863-0001,0:15:42,0:15:20,Digitized through Mac Pro soundcard (HB); Edited out ghost of previous recording in derivatives.,The first second is recorded at 7.5 ips. The remainder is recorded at 15ips. ,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ef48b69ba60f446
UMDM,WMUC-Reel-118,,,,,,,,,,,"America On the Road, June 28, 1996","Sonora Pine, Touch & Go Records, 6/28/96",,"WMUC (Radio station : College Park, Md.)","Labeled as: ""Sonora Pine, Touch & Go Records, June 28, 1996."" Two tracks listed: ""Goldmund and Snows cut snapshot."" Actually contains the program ""America on the Road"". Undated.",FM,WMUC Archives,2011-084,1,University Archives,University of Maryland at College Park,,6/28/96,"10.5""","1/4"" open reel tape",15,instrumental music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018864-0001,0:23:20,0:22:29,Had to be  digitized 3 times. Has 3 masters but 2 derivatives when edited together because the tape was recorded at two different speeds. bcast-018864-0001.wav and bcast-018864-0002.wav have been edited together to produce bcast-018864-0001-cd.wav and bcast-018864-0001.mp3; bcast-018864-0003.wav is the source of bcast-018864-0002-cd.wav and bcast-018864-0002.mp3; Digitized through Mac Pro soundcard (HB). ,"bcast-018864-0001 = a rock band recorded at 15 ips; bcast-018864-0002 = same rock band recorded at 30 ips. bcast-018864-0003 is America On the Road, recorded at 30 ips in the other reverse direction.",Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a1d29bf2c2c34fb
UMAM,,bcast-018864-0002 ,0:46:04,0:05:32,Had to be  digitized 3 times. Has 3 masters but 2 derivatives when edited together because the tape was recorded at two different speeds. bcast-018864-0001.wav and bcast-018864-0002.wav have been edited together to produce bcast-018864-0001-cd.wav and bcast-018864-0001.mp3; bcast-018864-0003.wav is the source of bcast-018864-0002-cd.wav and bcast-018864-0002.mp3; Digitized through Mac Pro soundcard (HB). ,"bcast-018864-0001 = a rock band recorded at 15 ips; bcast-018864-0002 = same rock band recorded at 30 ips. bcast-018864-0003 is America On the Road, recorded at 30 ips in the other reverse direction.",Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a1d29bf2c2c34fb
UMAM,,bcast-018864-0003,0:46:10,0:00:00,Had to be  digitized 3 times. Has 3 masters but 2 derivatives when edited together because the tape was recorded at two different speeds. bcast-018864-0001.wav and bcast-018864-0002.wav have been edited together to produce bcast-018864-0001-cd.wav and bcast-018864-0001.mp3; bcast-018864-0003.wav is the source of bcast-018864-0002-cd.wav and bcast-018864-0002.mp3; Digitized through Mac Pro soundcard (HB). ,"bcast-018864-0001 = a rock band recorded at 15 ips; bcast-018864-0002 = same rock band recorded at 30 ips. bcast-018864-0003 is America On the Road, recorded at 30 ips in the other reverse direction.",Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,WMUC-Reel-119,,,,,,,,,,,"America On the Road, June 28, 1996","Boy Racer, Zero Hour Records, 6/28/96",,"WMUC (Radio station : College Park, Md.)","""America On the Road"" program on Side A. On Side B, Boy Racer of Zero Hour Records on WMUC, June 28, 1996.",FM,WMUC Archives,2011-084,1,University Archives,University of Maryland at College Park,,6/28/96,"10.5""","1/4"" open reel tape",7.5,instrumental and vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,, 
UMAM,,bcast-018865-0001,0:44:14,0:12:59,Had to be digitized twice because the content on the tape was recorded in two different directions; Digitized through Mac Pro soundcard (HB). ,bcast-018865-0001 is America on the Road;  bcast-018865-0002 is Boy Racer playing live.,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=237d6dede0664dc
UMAM,,bcast-018865-0002,0:44:16,0:30:41,Had to be digitized twice because the content on the tape was recorded in two different directions; Digitized through Mac Pro soundcard (HB). ,bcast-018865-0001 is America on the Road;  bcast-018865-0002 is Boy Racer playing live.,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=595daa955b4047f
UMDM,WMUC-Reel-120,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 18, 1976","""You Must Remember This"", March 18, 1976 (part 1?)",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" WMUC, University of Maryland, 1PM- 2PM, March 18, 1976.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland, College Park",,3/18/76,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018866-0001,1:01:00,1:01:00,Digitized through Mac Pro soundcard (HB),Tape tails out- Rewind for Playback. Leave tape tails out after play. DO NOT ERASE- LIBRARY MASTER. ,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=58475d708df141c
UMDM,WMUC-Reel-122,,,,,,,,,,,"Music: Third Rail Radio, Mary Lou Lord, July 21, 1996","Mary Lou Lord, on Third Rail Radio, 7/21/96","Lord, Mary Lou","WMUC (Radio station : College Park, Md.)","Mary Lou Lord of Kill Rock Stars performs live on Third Rail Radio, WMUC, at the University of Maryland on Sunday, July 21, 1996, from 6-9. Set list includes Book, Martian Saints, Supergun, Sunspot Stopwatch, and Blimps go 90 by Guided by Voices. ",FM,WMUC Archives,2011-084,1,University Archives,University of Maryland at College Park,,7/21/96,"10.5""","1/4"" open reel tape",15,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018867-0001,0:26:48,0:26:48,Digitized through Mac Pro soundcard (HB),,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9e4a1af0789a472
UMDM,WMUC-Reel-123,,,,,,,,,,,"Interview: Sarah with Dr. G. Clayton Viddler, undated","Sarah's interview with Dr. G. Clayton Viddler, psychologist and author","Viddler, G. Clayton","WMUC (Radio station : College Park, Md.)","Sarah's interview on WMUC with Dr. G. Clayton Viddler, psychologist and author of ""The Principles of Seduction."" University of Maryland. Undated.",,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018868-0001,0:27:32,0:27:31,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels. Dropouts affect both channels throughout the recording; the recording is hot and generates distortion around the interviewer's voice.",,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=503030827926469
UMDM,WMUC-Reel-124,,,,,,,,,,,"Interview: ""Women in the Workplace,"" Marina Whitman and Zara Rolfes of General Motors, October 2, 1995","""Women in the Workplace"", phone interview with General Motors Corporation, October 2, 1995","Whitman, Marina; Rolfes, Zara","WMUC (Radio station : College Park, Md.)","""Women in the Workplace,"" phone interview with Marina Whitman and Zara Rolfes of General Motors Corporation, October 2, 1995.",FM,WMUC Archives,2011-084,1,University Archives,University of Maryland at College Park,,10/2/95,"10.5""","1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018869-0001,0:30:42,0:29:38,Removed 1k tone from the start of the recording; Digitized through Mac Pro soundcard (HB),Last 3 seconds (6 seconds) are recorded at 7.5 IPS.,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9a546126201846e
UMDM,WMUC-Reel-125,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 18, 1976","""You Must Remember This"", March 18, 1976 (part 4?)",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" WMUC, University of Maryland, 9PM-10PM, March 18, 1976.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland, College Park",,3/18/76,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018870-0001,0:58:27,0:58:27,Digitized through Mac Pro soundcard (HB),Tape tails out- Rewind for Playback. Leave tape tails out after play. DO NOT ERASE- LIBRARY MASTER.,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b74e28045e4a4c1
UMDM,WMUC-Reel-126,,,,,,,,,,,"Music: ""Folkways-Music of Pete Seeger,"" September 29, 1976","""Folkways"", Music of Pete Seeger, 9/29/76; Music: Wagner ""Die Walkure,"" 1971",,"WMUC (Radio station : College Park, Md.)","On Side A, ""Folkways"" music of Pete Seeger, hosted by Rich Kolker and Audrey Korotkin, September 29, 1976, with some of the opera from side B. On Side B, an NPR broadcast of the first act of Wilhelm Richard Wagner's ""Die Walkure"" under the direction of conductor Horst Stein at a festival in 1971. ",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland, College Park",,9/29/76,"10.5""","1/4"" open reel tape",7.5,,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018871-0001,1:06:11,1:05:18,Audio was recorded into two tracks that were split into mono files because the majority of the tape is a radio program recorded on the right channel only over a full track recorded tape. The opera music at the end of part 2 is the same from the opera music found on part 1. Tones at start and end removed in derivative; Digitized through Mac Pro soundcard (HB).  bcast-018871-0001 = Folkways; bcast-018872-0002 = Opera.,The program Folkways is recorded over a full track recording of an opera on the right channel. At 53:07 the recording returns to full track. ,Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=39e7502bb1c4481
UMAM,,bcast-018871-0002,0:57:38,0:55:20,Audio was recorded into two tracks that were split into mono files because the majority of the tape is a radio program recorded on the right channel only over a full track recorded tape. The opera music at the end of part 2 is the same from the opera music found on part 1. Tones at start and end removed in derivative; Digitized through Mac Pro soundcard (HB).  bcast-018871-0001 = Folkways; bcast-018872-0002 = Opera.,The program Folkways is recorded over a full track recording of an opera on the right channel. At 53:07 the recording returns to full track. ,Half,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6e00428934b1425
UMDM,WMUC-Reel-127,,,,,,,,,,,"Music: ""The Electric Radio: Classical Music in Rock,"" February 5, 1972","The Electric Radio: Classical Music in Rock, 2/5/72","Kernis,  Jay; Cole, Greg","WMUC (Radio station : College Park, Md.)","The Electric Radio #1: Ladies of the Beatles. Open cue: ""The Time has come the walrus said..."" Closing cue: ""...at College Park."" University of Maryland. Broadcast on February 2, 1972, but originally recorded at WMUC on January 7, 1972.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland, College Park",,2/5/72,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018872-0001,0:57:55,0:57:55,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels.",,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2afecda815fa453
UMDM,WMUC-Reel-128,,,,,,,,,,,"Interview: ""Yesternow,"" four candidates from the Grassroots Party for campus election, undated","Soul Zodiac Interview with Guilford Naranjit, 11/28/73",,"WMUC (Radio station : College Park, Md.)","""Yesternow"" program includes an interview with four candidates from the Grassroots Party for campus Student Government Association (SGA) as well as ""360 degrees of Black music,"" Interview begins at 00:20:44. University of Maryland. Undated. ",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,Sticky shed syndrome.,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018873-0001,1:12:50,1:12:50,Digitized through Mac Pro soundcard (HB),Audio found on the right track only.,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c75cd4b660154cc
UMDM,WMUC-Reel-129,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 18, 1976","""You Must Remember This"", March 18, 1976 (part 2?)",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" WMUC, University of Maryland, 3PM-4PM, March 18, 1976.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,3/18/76,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018874-0001,1:00:17,1:00:17,Digitized through Mac Pro soundcard (HB),Tape tails out- Rewind for Playback. Leave tape tails out after play. DO NOT ERASE- LIBRARY MASTER.,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=014f9a7d73a2454
UMDM,WMUC-Reel-130,,,,,,,,,,,"WJHU News, undated",Another Space Tape; 3 hours of Classical Compendium,"Macon, Robert","WMUC (Radio station : College Park, Md.)","Label on reel says ""Another Space Tape (Emergency is crossed out and replaced with Space); a comprehensive compilation of classical music."" Actually contains four takes of WJHU 5:30pm News with Robert Macon reporting, undated.",,WMUC Archives,2011-084,2,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,Print-through.,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018875-0001,0:14:18,0:14:13,Reduced silences between takes.Digitized through Mac Pro soundcard (HB),"Opening is repeated after a brief silence, then the complete segment is repeated after another brief silence; recording then seems to end prematurely.",Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4bea93785a774af
UMDM,WMUC-Reel-131,,,,,,,,,,,"Music: UM Chorus Christmas Concert, December 5, 1980","UM Chorus Christmas Concert, December 5, 1980, 8:15PM and midnight, at the memorial chapel",,"WMUC (Radio station : College Park, Md.)","University of Maryland Chorus Christmas Concert, December 5, 1980, 8:15PM and midnight, at the memorial chapel. Program included in box. Broadcasted on December 24, 1980 at 6PM.",AM OR FM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,12/5/80,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018876-0001,1:14:42,1:09:47,Trimmed additional silence at end of recording in derivative. Digitized through Mac Pro soundcard (HB),,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=d00d38f3143b42b
UMDM,WMUC-Reel-132,,,,,,,,,,,"Variety: ""Yesternow,"" Hillel Show, and College Park Caucus, undated",Yesternow Hillel Show and College Park Caucus,,"WMUC (Radio station : College Park, Md.)","Yesternow, Hillel Show, and College Park Caucus at University of Maryland. Undated.",,WMUC Archives,2011-084,2,University Archives,"University of Maryland (College Park, Md.)",,,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018877-0001,0:53:46,0:53:46,Digitized through Mac Pro soundcard (HB),60 minutes long. ,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7ce6afde1322476
UMDM,WMUC-Reel-133,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 19, 1976","""You Must Remember This"", March 19, 1976",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" WMUC, University of Maryland, 10AM-11AM, March 19, 1976.",AM,WMUC Archives,2011-084,2,University Archives,"University of Maryland, College Park",,3/19/76,"10.5""","1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018878-0001,1:00:09,1:00:09,Digitized through Mac Pro soundcard (HB),Tape tails out- Rewind for Playback. Leave tape tails out after play. DO NOT ERASE- LIBRARY MASTER. ,Full,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6fcfc401cb72432
UMDM,WMUC-Reel-134,,,,,,,,,,,"Music: Techno Squid live, September 19, 1990","Techno Squid live at WMUC, 9/19/90",,"WMUC (Radio station : College Park, Md.)","Techno Squid live at WMUC, University of Maryland, September 19, 1990.",FM,WMUC Archives,2011-084,2,University Archives,University of Maryland at College Park,,9/19/90,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018882-0001,0:49:15,0:49:15,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels.",Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=bed53da4286e453
UMDM,WMUC-Reel-135,,,,,,,,,,,"News: Terrapin Chronicle, February 23, 1995","""Terrapin Chronicle"", 2/23/95",,"WMUC (Radio station : College Park, Md.)","""Terrapin Chronicle,"" University of Maryland, February 23, 1995.",FM,WMUC Archives,2011-084,2,University Archives,University of Maryland at College Park,,2/23/95,"10.5""","1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,,bcast-018879-0001,0:32:37,0:32:37,Digitized through Mac Pro soundcard (HB),"Do not play stereo file on mono speakers. For mono, take either left or right channels.",,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=05c54cdf28cc444
